Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,2023-06-03,2023,06,03,,23.3,,16.0,,19.6,,0.0,,1.6,,0.2,,0.0,,0.2,,,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-04,2023,06,04,,25.1,,13.4,,19.2,,0.0,,1.2,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-05,2023,06,05,,25.2,,13.3,,19.2,,0.0,,1.2,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-06,2023,06,06,,22.8,,14.4,,18.6,,0.0,,0.6,,0.3,,0.0,,0.3,,,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-07,2023,06,07,,21.3,,11.9,,16.6,,1.4,,0.0,,0.0,T,0.0,,0.0,T,,,34,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-08,2023,06,08,,22.7,,11.1,,16.9,,1.1,,0.0,,2.0,,0.0,,2.0,,,,15,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-09,2023,06,09,,30.7,,17.4,,24.0,,0.0,,6.0,,0.4,,0.0,,0.4,,,,26,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-10,2023,06,10,,21.7,,13.3,,17.5,,0.5,,0.0,,7.9,,0.0,,7.9,,,,31,,50,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-11,2023,06,11,,24.0,,12.5,,18.2,,0.0,,0.2,,2.3,,0.0,,2.3,,,,8,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-12,2023,06,12,,23.7,,14.5,,19.1,,0.0,,1.1,,7.9,,0.0,,7.9,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-13,2023,06,13,,21.4,,10.9,,16.1,,1.9,,0.0,,9.5,,0.0,,9.5,,,,31,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-14,2023,06,14,,20.9,,11.5,,16.2,,1.8,,0.0,,0.0,T,0.0,,0.0,T,,,36,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-15,2023,06,15,,24.8,,15.0,,19.9,,0.0,,1.9,,1.4,,0.0,,1.4,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-16,2023,06,16,,25.9,,14.7,,20.3,,0.0,,2.3,,0.2,,0.0,,0.2,,,,32,,47,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-17,2023,06,17,,20.8,,12.8,,16.8,,1.2,,0.0,,23.6,,0.0,,23.6,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-18,2023,06,18,,25.4,,16.8,,21.1,,0.0,,3.1,,0.5,,0.0,,0.5,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-19,2023,06,19,,21.6,,16.8,,19.2,,0.0,,1.2,,16.1,,0.0,,16.1,,,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-20,2023,06,20,,21.7,,14.5,,18.1,,0.0,,0.1,,6.7,,0.0,,6.7,,,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-21,2023,06,21,,22.6,,14.6,,18.6,,0.0,,0.6,,0.0,,0.0,,0.0,,,,34,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-22,2023,06,22,,30.3,,19.2,,24.8,,0.0,,6.8,,5.2,,0.0,,5.2,,,,2,,45,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-23,2023,06,23,,27.2,,14.7,,20.9,,0.0,,2.9,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-24,2023,06,24,,18.9,,12.5,,15.7,,2.3,,0.0,,16.3,,0.0,,16.3,,,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-25,2023,06,25,,21.7,,13.1,,17.4,,0.6,,0.0,,11.2,,0.0,,11.2,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-26,2023,06,26,,20.9,,12.6,,16.8,,1.2,,0.0,,20.6,,0.0,,20.6,,,,10,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-27,2023,06,27,,24.4,,14.3,,19.4,,0.0,,1.4,,0.0,,0.0,,0.0,,,,10,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-28,2023,06,28,,21.9,,14.5,,18.2,,0.0,,0.2,,18.4,,0.0,,18.4,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-06-29,2023,06,29,,25.6,,16.0,,20.8,,0.0,,2.8,,0.4,,0.0,,0.4,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-30,2023,06,30,,21.8,,13.8,,17.8,,0.2,,0.0,,1.6,,0.0,,1.6,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-07-01,2023,07,01,,29.3,,20.3,,24.8,,0.0,,6.8,,3.6,,0.0,,3.6,,,,16,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-02,2023,07,02,,26.0,,18.5,,22.2,,0.0,,4.2,,4.1,,0.0,,4.1,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-07-03,2023,07,03,,26.7,,16.5,,21.6,,0.0,,3.6,,2.9,,0.0,,2.9,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-07-04,2023,07,04,,28.1,,17.7,,22.9,,0.0,,4.9,,0.0,,0.0,,0.0,,,,35,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-05,2023,07,05,,29.1,,19.3,,24.2,,0.0,,6.2,,8.7,,0.0,,8.7,,,,33,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-06,2023,07,06,,28.5,,17.1,,22.8,,0.0,,4.8,,0.0,,0.0,,0.0,,,,32,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-07,2023,07,07,,27.6,,18.9,,23.2,,0.0,,5.2,,12.3,,0.0,,12.3,,,,25,,49,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-08,2023,07,08,,25.3,,16.4,,20.9,,0.0,,2.9,,9.5,,0.0,,9.5,,,,36,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-09,2023,07,09,,30.8,,20.0,,25.4,,0.0,,7.4,,7.0,,0.0,,7.0,,,,28,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-10,2023,07,10,,26.8,,17.0,,21.9,,0.0,,3.9,,0.7,,0.0,,0.7,,,,35,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-11,2023,07,11,,30.1,,19.5,,24.8,,0.0,,6.8,,7.7,,0.0,,7.7,,,,28,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-12,2023,07,12,,25.9,,15.0,,20.4,,0.0,,2.4,,15.1,,0.0,,15.1,,,,27,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-13,2023,07,13,,27.3,,17.9,,22.6,,0.0,,4.6,,1.9,,0.0,,1.9,,,,25,,49,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-14,2023,07,14,,30.0,,19.4,,24.7,,0.0,,6.7,,6.1,,0.0,,6.1,,,,33,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-15,2023,07,15,,28.1,,16.1,,22.1,,0.0,,4.1,,0.4,,0.0,,0.4,,,,28,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-16,2023,07,16,,29.3,,17.1,,23.2,,0.0,,5.2,,0.1,,0.0,,0.1,,,,34,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-17,2023,07,17,,29.1,,19.0,,24.1,,0.0,,6.1,,6.3,,0.0,,6.3,,,,1,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-18,2023,07,18,,31.0,,20.1,,25.6,,0.0,,7.6,,3.7,,0.0,,3.7,,,,26,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-19,2023,07,19,,26.5,,16.1,,21.3,,0.0,,3.3,,1.9,,0.0,,1.9,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-07-20,2023,07,20,,26.1,,15.4,,20.8,,0.0,,2.8,,0.9,,0.0,,0.9,,,,23,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-21,2023,07,21,,30.7,,18.3,,24.5,,0.0,,6.5,,0.0,,0.0,,0.0,,,,28,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-22,2023,07,22,,28.2,,18.0,,23.1,,0.0,,5.1,,5.5,,0.0,,5.5,,,,25,,47,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-23,2023,07,23,,27.8,,20.1,,24.0,,0.0,,6.0,,6.2,,0.0,,6.2,,,,16,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-24,2023,07,24,,28.3,,18.3,,23.3,,0.0,,5.3,,8.7,,0.0,,8.7,,,,33,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-25,2023,07,25,,27.0,,17.1,,22.1,,0.0,,4.1,,4.0,,0.0,,4.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-07-26,2023,07,26,,27.9,,18.4,,23.1,,0.0,,5.1,,3.4,,0.0,,3.4,,,,36,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-27,2023,07,27,,27.8,,16.5,,22.1,,0.0,,4.1,,0.4,,0.0,,0.4,,,,27,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-28,2023,07,28,,29.1,,19.2,,24.1,,0.0,,6.1,,5.7,,0.0,,5.7,,,,17,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-29,2023,07,29,,28.1,,15.8,,22.0,,0.0,,4.0,,0.6,,0.0,,0.6,,,,25,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-30,2023,07,30,,28.4,,19.6,,24.0,,0.0,,6.0,,2.9,,0.0,,2.9,,,,25,,49,
-79.63,43.68,TORONTO INTL A,6158731,2023-07-31,2023,07,31,,24.2,,14.6,,19.4,,0.0,,1.4,,0.0,T,0.0,,0.0,T,,,36,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-01,2023,08,01,,24.0,,13.2,,18.6,,0.0,,0.6,,0.0,T,0.0,,0.0,T,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-02,2023,08,02,,21.7,,13.1,,17.4,,0.6,,0.0,,0.0,T,0.0,,0.0,T,,,22,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-03,2023,08,03,,24.6,,14.0,,19.3,,0.0,,1.3,,0.0,,0.0,,0.0,,,,4,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-04,2023,08,04,,25.5,,17.7,,21.6,,0.0,,3.6,,6.2,,0.0,,6.2,,,,33,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-05,2023,08,05,,23.4,,14.2,,18.8,,0.0,,0.8,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-06,2023,08,06,,25.7,,15.4,,20.6,,0.0,,2.6,,2.0,,0.0,,2.0,,,,26,,49,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-07,2023,08,07,,26.5,,17.2,,21.9,,0.0,,3.9,,11.4,,0.0,,11.4,,,,23,,71,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-08,2023,08,08,,27.3,,17.9,,22.6,,0.0,,4.6,,0.0,,0.0,,0.0,,,,21,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-09,2023,08,09,,28.1,,17.1,,22.6,,0.0,,4.6,,0.0,,0.0,,0.0,,,,25,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-10,2023,08,10,,27.1,,16.8,,22.0,,0.0,,4.0,,8.9,,0.0,,8.9,,,,25,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-11,2023,08,11,,26.6,,16.1,,21.4,,0.0,,3.4,,0.0,,0.0,,0.0,,,,35,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-12,2023,08,12,,25.4,,17.7,,21.5,,0.0,,3.5,,5.8,,0.0,,5.8,,,,33,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-13,2023,08,13,,29.4,,18.6,,24.0,,0.0,,6.0,,1.8,,0.0,,1.8,,,,36,,66,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-14,2023,08,14,,22.8,,15.5,,19.1,,0.0,,1.1,,3.3,,0.0,,3.3,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-15,2023,08,15,,23.6,,14.4,,19.0,,0.0,,1.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-16,2023,08,16,,25.0,,14.7,,19.9,,0.0,,1.9,,0.0,,0.0,,0.0,,,,31,,67,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-17,2023,08,17,,26.0,,18.5,,22.2,,0.0,,4.2,,0.4,,0.0,,0.4,,,,26,,50,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-18,2023,08,18,,20.0,,12.7,,16.4,,1.6,,0.0,,0.0,T,0.0,,0.0,T,,,29,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-19,2023,08,19,,28.9,,16.8,,22.9,,0.0,,4.9,,0.8,,0.0,,0.8,,,,27,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-20,2023,08,20,,26.1,,17.9,,22.0,,0.0,,4.0,,9.3,,0.0,,9.3,,,,33,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-21,2023,08,21,,26.2,,15.1,,20.6,,0.0,,2.6,,0.0,,0.0,,0.0,,,,35,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-22,2023,08,22,,28.2,,17.9,,23.0,,0.0,,5.0,,0.8,,0.0,,0.8,,,,26,,50,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-23,2023,08,23,,22.5,,15.4,,18.9,,0.0,,0.9,,5.6,,0.0,,5.6,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-24,2023,08,24,,22.5,,10.6,,16.6,,1.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-25,2023,08,25,,25.1,,16.2,,20.6,,0.0,,2.6,,0.0,,0.0,,0.0,,,,31,,67,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-26,2023,08,26,,21.2,,13.3,,17.2,,0.8,,0.0,,0.0,,0.0,,0.0,,,,35,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-27,2023,08,27,,23.5,,15.4,,19.4,,1.4,,1.4,,1.4,,0.0,,1.4,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-28,2023,08,28,,20.2,,15.6,,17.9,,0.1,,0.0,,4.6,,0.0,,4.6,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-08-29,2023,08,29,,25.1,,14.5,,19.8,,0.0,,1.8,,0.0,,0.0,,0.0,,,,30,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-30,2023,08,30,,24.8,,13.5,,19.1,,0.0,,1.1,,0.0,,0.0,,0.0,,,,4,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-08-31,2023,08,31,,22.7,,17.4,,20.0,,0.0,,2.0,,7.0,,0.0,,7.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-01,2023,09,01,,21.4,,12.0,,16.7,,1.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-02,2023,09,02,,24.3,,13.3,,18.8,,0.0,,0.8,,0.0,,0.0,,0.0,,,,29,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-03,2023,09,03,,22.8,,11.9,,17.4,,0.6,,0.0,,0.0,,0.0,,0.0,,,,7,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-04,2023,09,04,,29.4,,18.1,,23.8,,0.0,,5.8,,0.2,,0.0,,0.2,,,,10,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-05,2023,09,05,,30.6,,18.6,,24.6,,0.0,,6.6,,0.0,,0.0,,0.0,,,,35,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-06,2023,09,06,,23.6,,13.9,,18.8,,0.0,,0.8,,0.0,T,0.0,,0.0,T,,,33,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-07,2023,09,07,,21.6,,10.3,,16.0,,2.0,,0.0,,0.0,,0.0,,0.0,,,,7,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-08,2023,09,08,,29.9,,17.9,,23.9,,0.0,,5.9,,0.0,,0.0,,0.0,,,,19,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-09,2023,09,09,,21.0,,12.7,,16.9,,1.1,,0.0,,0.7,,0.0,,0.7,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-10,2023,09,10,,21.3,,13.1,,17.2,,0.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-11,2023,09,11,,22.1,,16.7,,19.4,,0.0,,1.4,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-12,2023,09,12,,23.1,,,M,,M,,M,,M,6.2,,0.0,,6.2,,,,25,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-13,2023,09,13,,29.7,,16.6,,23.1,,0.0,,5.1,,0.1,,0.0,,0.1,,,,26,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-14,2023,09,14,,22.1,,14.4,,18.2,,0.0,,0.2,,0.5,,0.0,,0.5,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-15,2023,09,15,,22.5,,11.4,,16.9,,1.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-16,2023,09,16,,20.0,,12.5,,16.2,,1.8,,0.0,,0.0,,0.0,,0.0,,,,9,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-17,2023,09,17,,31.9,,21.8,,26.9,,0.0,,8.9,,0.0,T,0.0,,0.0,T,,,21,,45,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-18,2023,09,18,,32.2,,18.6,,25.4,,0.0,,7.4,,0.0,,0.0,,0.0,,,,25,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-19,2023,09,19,,20.4,,14.2,,17.3,,0.7,,0.0,,0.0,,0.0,,0.0,,,,35,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-20,2023,09,20,,22.8,,13.3,,18.1,,0.0,,0.1,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-21,2023,09,21,,22.8,,12.7,,17.8,,0.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-22,2023,09,22,,22.0,,14.9,,18.4,,0.0,,0.4,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-23,2023,09,23,,21.4,,12.0,,16.7,,1.3,,0.0,,0.4,,0.0,,0.4,,,,29,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-24,2023,09,24,,21.6,,10.3,,16.0,,2.0,,0.0,,0.0,,0.0,,0.0,,,,29,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-25,2023,09,25,,20.3,,9.8,,15.1,,2.9,,0.0,,0.0,,0.0,,0.0,,,,29,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-26,2023,09,26,,24.0,,16.2,,20.1,,0.0,,2.1,,0.5,,0.0,,0.5,,,,10,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-27,2023,09,27,,21.0,,12.1,,16.6,,1.4,,0.0,,0.2,,0.0,,0.2,,,,10,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-28,2023,09,28,,24.8,,13.6,,19.2,,0.0,,1.2,,1.0,,0.0,,1.0,,,,7,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-09-29,2023,09,29,,21.0,,14.6,,17.8,,0.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-09-30,2023,09,30,,20.8,,13.4,,17.1,,0.9,,0.0,,0.5,,0.0,,0.5,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-01,2023,10,01,,20.9,,10.4,,15.6,,2.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-02,2023,10,02,,26.9,,14.4,,20.6,,0.0,,2.6,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-03,2023,10,03,,19.1,,4.6,,11.9,,6.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-04,2023,10,04,,23.5,,11.0,,17.2,,0.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-05,2023,10,05,,13.5,,5.6,,9.6,,8.4,,0.0,,0.1,,0.0,,0.1,,,,16,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-06,2023,10,06,,17.4,,8.1,,12.8,,5.2,,0.0,,0.3,,0.0,,0.3,,,,25,,48,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-07,2023,10,07,,22.7,,14.2,,18.4,,0.0,,0.4,,4.2,,0.0,,4.2,,,,23,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-08,2023,10,08,,16.4,,6.2,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,,,26,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-09,2023,10,09,,11.1,,6.9,,9.0,,9.0,,0.0,,0.0,T,0.0,,0.0,T,,,34,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-10,2023,10,10,,15.8,,8.1,,11.9,,6.1,,0.0,,0.0,,0.0,,0.0,,,,35,,56,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-11,2023,10,11,,19.6,,12.9,,16.2,,1.8,,0.0,,1.2,,0.0,,1.2,,,,26,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-12,2023,10,12,,18.5,,9.4,,13.9,,4.1,,0.0,,5.6,,0.0,,5.6,,,,15,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-13,2023,10,13,,15.5,,5.0,,10.2,,7.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-14,2023,10,14,,11.9,,8.0,,9.9,,8.1,,0.0,,0.0,T,0.0,,0.0,T,,,34,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-15,2023,10,15,,10.6,,7.2,,8.9,,9.1,,0.0,,0.0,T,0.0,,0.0,T,,,34,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-16,2023,10,16,,14.9,,7.7,,11.3,,6.7,,0.0,,0.2,,0.0,,0.2,,,,14,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-17,2023,10,17,,14.4,,1.6,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-18,2023,10,18,,16.0,,8.0,,12.0,,6.0,,0.0,,0.7,,0.0,,0.7,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-19,2023,10,19,,17.3,,11.3,,14.3,,3.7,,0.0,,4.0,,0.0,,4.0,,,,22,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-20,2023,10,20,,15.1,,8.1,,11.6,,6.4,,0.0,,2.5,,0.0,,2.5,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-21,2023,10,21,,16.4,,9.3,,12.8,,5.2,,0.0,,3.8,,0.0,,3.8,,,,15,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-22,2023,10,22,,8.1,,-0.9,,3.6,,14.4,,0.0,,3.4,,0.0,,3.4,,,,32,,59,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-23,2023,10,23,,21.9,,13.3,,17.6,,0.4,,0.0,,2.0,,0.0,,2.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-10-24,2023,10,24,,17.2,,6.1,,11.6,,6.4,,0.0,,0.0,,0.0,,0.0,,,,26,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-25,2023,10,25,,20.8,,15.6,,18.2,,0.0,,0.2,,1.6,,0.0,,1.6,,,,26,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-26,2023,10,26,,11.1,,7.1,,9.1,,8.9,,0.0,,1.4,,0.0,,1.4,,,,28,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-27,2023,10,27,,12.0,,7.3,,9.7,,8.3,,0.0,,0.0,T,0.0,,0.0,T,,,1,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-28,2023,10,28,,10.5,,4.8,,7.7,,10.3,,0.0,,1.5,,0.0,,1.5,,,,11,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-29,2023,10,29,,17.8,,7.6,,12.7,,5.3,,0.0,,6.0,,0.0,,6.0,,,,33,,47,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-30,2023,10,30,,19.0,,8.7,,13.8,,4.2,,0.0,,1.8,,0.0,,1.8,,,,26,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-10-31,2023,10,31,,16.7,,7.9,,12.3,,5.7,,0.0,,0.1,,0.0,,0.1,,,,26,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-01,2023,11,01,,9.5,,4.0,,6.8,,11.2,,0.0,,1.6,,0.0,,1.6,,,,33,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-02,2023,11,02,,14.6,,3.1,,8.8,,9.2,,0.0,,1.0,,0.0,,1.0,,,,23,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-03,2023,11,03,,14.8,,3.8,,9.3,,8.7,,0.0,,0.0,T,0.0,,0.0,T,,,25,,64,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-04,2023,11,04,,7.2,,-0.7,,3.2,,14.8,,0.0,,1.4,,0.0,,1.4,,,,33,,47,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-05,2023,11,05,,6.9,,0.2,,3.6,,14.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-11-06,2023,11,06,,12.2,,1.0,,6.6,,11.4,,0.0,,0.0,,0.0,,0.0,,,,30,,57,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-07,2023,11,07,,15.6,,6.0,,10.8,,7.2,,0.0,,0.0,T,0.0,,0.0,T,,,25,,64,
-79.63,43.68,TORONTO INTL A,6158731,2023-11-08,2023,11,08,,3.7,,-3.2,,0.2,,17.8,,0.0,,18.4,,2.0,,20.4,,,,10,,45,
